Year,Reference Code,Title in English,Title in Traditional Chinese,Title in Simplified Chinese,Organizations concerned,Declared on,Completed on,File Path (English),File Path (Traditional Chinese),File Path (Simplified Chinese),Report Type,ChineseSpecificDITerm,Google Drive Link (EN),Google Drive Link (TC),Google Drive Link (SC)
2024/25,,Reply Form for Lodging a Complaint,,,,,2024-10,www.ombudsman.hk/wp-content/uploads/2024/10/HKOmbudsman_EN_Reply_Form_for_Lodging_a_Complaint.pdf,,,,,https://drive.google.com/file/d/1rarg3DoQdEdvwudVu0u50pXKy1LV9aiu/view?usp=drivesdk,,
2024/25,OMB 2024/0996,,地政總署對違規佔用政府土地的執管行動,地政总署对违规占用政府土地的执管行动,"LandsD,1823",2024-08,2024-10,,www.ombudsman.hk/wp-content/uploads/2025/03/申訴專員公署_就投訴作出的調查_OMB_2024_0996_摘要_LandsD_TC_地政總署對違規佔用政府土地的執管行動.pdf,www.ombudsman.hk/wp-content/uploads/2025/03/申诉专员公署_就投诉作出的调查_OMB_2024_0996_LandsD_SC_地政总署对违规占用政府土地的执管行动.pdf,Complaint,,,https://drive.google.com/file/d/1jKTdbKoakPDDaxLmdNOhcMPiCsXTKpvp/view?usp=drivesdk,https://drive.google.com/file/d/16xPvCaKKZSm3UQdEN9pkrW0uA7NBNBzo/view?usp=drivesdk
2024/25,OMB 2024/1477,,運輸署對某渡輪服務營辦商發布訊息安排的處理,运输署对某渡轮服务营办商发布讯息安排的处理,"TD,1823,MD",2024-09,2024-10,,www.ombudsman.hk/wp-content/uploads/2025/04/申訴專員公署_就投訴作出的調查_OMB_2024_1477_TD_TC_運輸署對某渡輪服務營辦商發布訊息安排的處理.pdf,www.ombudsman.hk/wp-content/uploads/2025/04/申诉专员公署_就投诉作出的调查_OMB_2024_1477_TD_SC_运输署对某渡轮服务营办商发布讯息安排的处理.pdf,Complaint,,,https://drive.google.com/file/d/1_nIUQ0v1ppAcod_DLApB1e7cJhKq8B4U/view?usp=drivesdk,https://drive.google.com/file/d/1w9XMCVOlNPBZ6_R16rH0TONdoR1s8bBZ/view?usp=drivesdk
2024/25,OMB/DI/469,Transport Department's Arrangements for Driving Tests,運輸署有關駕駛考試的安排,运输署有关驾驶考试的安排,TD,,2024-09-02,www.ombudsman.hk/wp-content/uploads/2024/09/HKOmbudsman_Direct Investigation_OMB_DI_469_Summary_TD_EN_Transport_Department's_Arrangements_for_Driving_Tests.pdf,www.ombudsman.hk/wp-content/uploads/2024/09/申訴專員公署_主動調查_OMB_DI_469_全文_TD_TC_運輸署有關駕駛考試的安排.pdf,www.ombudsman.hk/wp-content/uploads/2024/09/申诉专员公署_主动调查_OMB_DI_469_全文_TD_SC_运输署有关驾驶考试的安排.pdf,DI,,https://drive.google.com/file/d/1zRgRSBB3vgMaO0y56D1EMTGt2g5H7LMU/view?usp=drivesdk,https://drive.google.com/file/d/1jVZcBSbD-9HeG4hYAkETCVYL3QkEzKtz/view?usp=drivesdk,https://drive.google.com/file/d/19vRBkHLMsS9nbErG3KrlPtqp6IngwpQU/view?usp=drivesdk
2023/24,,,,第三十六期年报,,,2024-06-19,,,www.ombudsman.hk/wp-content/uploads/2024/08/申诉专员公署_年报_全文_W3C_SC_第三十六期年报.pdf,AR,,,,https://drive.google.com/file/d/1OEMuwEY_fZzrIsTrQHdw52Kk1sbMeLe9/view?usp=drivesdk
2024/25,OMB 2023/3763,Food safety reports of Food and Environmental Hygiene Department,投訴食物環境衞生署延誤公布食物安全跟進檢測結果,食物环境卫生署的食物安全报告,FEHD,2023-12,2024-06,www.ombudsman.hk/wp-content/uploads/2025/03/HKOmbudsman_Investigation Report_OMB_2023_3763_Full Report_FEHD_EN_Food_safety_reports_of_Food_and_Environmental_Hygiene_Department.pdf,www.ombudsman.hk/wp-content/uploads/2025/04/申訴專員公署_就投訴作出的調查_OMB_2023_3763_摘要_FEHD_TC_投訴食物環境衞生署延誤公布食物安全跟進檢測結果.pdf,www.ombudsman.hk/wp-content/uploads/2025/04/申诉专员公署_就投诉作出的调查_OMB_2023_3763_FEHD_SC_食物环境卫生署的食物安全报告.pdf,Complaint,,https://drive.google.com/file/d/1rMGs0wAFghbNRqA7w8JM2Ct6e6aOjks8/view?usp=drivesdk,https://drive.google.com/file/d/1hM57oEr1Fouw3I7dkBnWnL1KNC3qpHai/view?usp=drivesdk,https://drive.google.com/file/d/1F9j90OBVgS5O_TMVod1dbDVU45gxIDYT/view?usp=drivesdk
2024/25,,Administrative Fees for Provision of Information,,,,,2024-04,www.ombudsman.hk/wp-content/uploads/2024/09/HKOmbudsman_EN_Administrative_Fees_for_Provision_of_Information.pdf,,,,,https://drive.google.com/file/d/19Xk3vGv3ms7U2pvMCpQiapcctHr5V_1t/view?usp=drivesdk,,
2024/25,,,索取資料申請表格,,,,2024-04,,www.ombudsman.hk/wp-content/uploads/2024/06/申訴專員公署_TC_索取資料申請表格.pdf,,,,,https://drive.google.com/file/d/1su7M9Ju7TIkK25j8ODgAuoakS3WpynXH/view?usp=drivesdk,
2024/25,,,,申诉专员陈积志先生,"DEVB,HAB,HAD",,2024-04-01,,,www.ombudsman.hk/wp-content/uploads/2024/04/申诉专员公署_SC_申诉专员陈积志先生.pdf,,,,,https://drive.google.com/file/d/1Nggjlkc6bcrtK-Epy7AFkLvuZW6NLnV_/view?usp=drivesdk
2023/24,OMB/DI/461,Effectiveness of 1823 in Handling Complaints and Enquiries,1823處理投訴及查詢的成效,1823 处理投诉及查询的成效,"1823,HAB,HAD,HKPF",,2024-03-05,www.ombudsman.hk/wp-content/uploads/2024/02/HKOmbudsman_Direct Investigation_OMB_DI_461_Summary_1823_EN_Effectiveness_of_1823_in_Handling_Complaints_and_Enquiries.pdf,www.ombudsman.hk/wp-content/uploads/2024/02/申訴專員公署_主動調查_OMB_DI_461_全文_1823_TC_1823處理投訴及查詢的成效.pdf,www.ombudsman.hk/wp-content/uploads/2024/02/申诉专员公署_主动调查_OMB_DI_461_全文_1823_SC_1823_处理投诉及查询的成效.pdf,DI,,https://drive.google.com/file/d/1fH71K6X6uMBUxLT751YeVkxiLlWxRuUc/view?usp=drivesdk,https://drive.google.com/file/d/1PHoIOh9ysjphjR7F2RWn4XSftsHYsKbR/view?usp=drivesdk,https://drive.google.com/file/d/1mpWrRQgdpCJWooWpHcuOeixVAhRwgbc6/view?usp=drivesdk
2023/24,OMB/DI/466,Regulation of Licensed Swimming Pools by Food and Environmental Hygiene Department,食物環境衞生署對持牌泳池的監管,食物环境卫生署对持牌泳池的监管,"FEHD,LCSD",,2024-03-05,www.ombudsman.hk/wp-content/uploads/2024/02/HKOmbudsman_Direct Investigation_OMB_DI_466_Summary_FEHD_EN_Regulation_of_Licensed_Swimming_Pools_by_Food_and_Environmental_Hygiene_Department.pdf,www.ombudsman.hk/wp-content/uploads/2024/03/申訴專員公署_主動調查_OMB_DI_466_全文_FEHD_TC_食物環境衞生署對持牌泳池的監管.pdf,www.ombudsman.hk/wp-content/uploads/2024/03/申诉专员公署_主动调查_OMB_DI_466_全文_FEHD_SC_食物环境卫生署对持牌泳池的监管.pdf,DI,,https://drive.google.com/file/d/1glUExE41EBbWV_MlK3Mo5YMCjVlpwLVR/view?usp=drivesdk,https://drive.google.com/file/d/1TH5RHePkj2vQ5qfLOYyOAIXe-wbmWOPM/view?usp=drivesdk,https://drive.google.com/file/d/1nT8JJLBoVUY6FH38RNb0UwPeYcb7FPln/view?usp=drivesdk
2023/24,,,要求本署提供資料的行政收費,,,,2024-03,,www.ombudsman.hk/wp-content/uploads/2024/03/申訴專員公署_公開資料守則_TC_要求本署提供資料的行政收費.pdf,,Code,,,https://drive.google.com/file/d/1twZCIEuEzNlWfAA52tOrCz0keKdXyJR_/view?usp=drivesdk,
2023/24,,,招聘高級調查主任、調查主任及助理調查主任,,,,2024-02,,www.ombudsman.hk/wp-content/uploads/2024/02/申訴專員公署_TC_招聘高級調查主任、調查主任及助理調查主任.pdf,,,,,https://drive.google.com/file/d/1Aqw8vYZeVSuG9nGo6Sa6hCToCUbGaeGM/view?usp=drivesdk,
2023/24,,,,申诉专员公署简介,"HKPF,ICAC,HAD,PO",,2024-01,,,www.ombudsman.hk/wp-content/uploads/2024/01/申诉专员公署_SC_申诉专员公署简介.pdf,,,,,https://drive.google.com/file/d/19dtkOwm09MzBHqgb76XG16c3raRjYhQq/view?usp=drivesdk
2025/26,OMB/DI/465,Repairs and Maintenance of Outdoor Recreational and Sports Facilities under Leisure and Cultural Services Department,康樂及文化事務署轄下戶外遊樂和康體設施的保養與維修,康乐及文化事务署辖下户外游乐和康体设施的保养与维修,"LCSD, DEVB",2022-12-08,2023-12-12,www.ombudsman.hk/wp-content/uploads/2023/12/HKOmbudsman_Direct Investigation_OMB_DI_465_Full Report_LCSD_EN_Repairs_and_Maintenance_of_Outdoor_Recreational_and_Sports_Facilities_under_Leisure_and_Cultural_Services_Department.pdf,www.ombudsman.hk/wp-content/uploads/2023/12/申訴專員公署_主動調查_OMB_DI_465_全文_LCSD_TC_康樂及文化事務署轄下戶外遊樂和康體設施的保養與維修.pdf,www.ombudsman.hk/wp-content/uploads/2023/12/申诉专员公署_主动调查_OMB_DI_465_全文_LCSD_SC_康乐及文化事务署辖下户外游乐和康体设施的保养与维修.pdf,DI,主動調查,https://drive.google.com/file/d/14tCb6kSYtetXA9BxOu7Y6-QfV48s_KHF/view?usp=drivesdk,https://drive.google.com/file/d/1LPVMpJfeAqA6pRbcctCbMrWdMsoFBs6Z/view?usp=drivesdk,https://drive.google.com/file/d/12oN66xhXRS6btMKuEIEB2jaoOqqZgIJ5/view?usp=drivesdk
2023/24,OMB/DI/467,Food and Environmental Hygiene Department's Regulation over Sale of Food in Hot/Cold Holding and Non-prepackaged Beverages by Means of Vending Machine,食物環境衞生署對以售賣機出售熱存 / 冷存食物及非預先包裝飲品的規管,食物环境卫生署对以售卖机出售热存/冷存食物及非预先包装饮品的规管,"FEHD,FSD,BD",2023-03-28,2023-12-12,www.ombudsman.hk/wp-content/uploads/2023/12/HKOmbudsman_Direct Investigation_OMB_DI_467_Full Report_FEHD_EN_Food_and_Environmental_Hygiene_Department's_Regulation_over_Sale_of_Food_in_Hot_Cold_Holding_and_Non-prepackaged_Beverages_by_Means_of_Vending_Machine.pdf,www.ombudsman.hk/wp-content/uploads/2023/12/申訴專員公署_主動調查_OMB_DI_467_全文_FEHD_TC_食物環境衞生署對以售賣機出售熱存___冷存食物及非預先包裝飲品的規管.pdf,www.ombudsman.hk/wp-content/uploads/2023/12/申诉专员公署_主动调查_OMB_DI_467_全文_FEHD_SC_食物环境卫生署对以售卖机出售热存_冷存食物及非预先包装饮品的规管.pdf,DI,主動調查,https://drive.google.com/file/d/1aDHkHxx7BloDkPYk0gyJGLKM3QYRwZgO/view?usp=drivesdk,https://drive.google.com/file/d/1m_F-gA_tsQW0zKOOlYguMjf60Wgn-Wl2/view?usp=drivesdk,https://drive.google.com/file/d/1kNZKSjDIWj7clzuIv6clUySj687pSscf/view?usp=drivesdk
2022/23,OMB 2022/3895,Leisure and Cultural Services Department refusing to provide information of books removed from public library shelves or withdrawn,康樂及文化事務署拒絕提供公共圖書館下架或註銷的書籍資料,拒绝提供公共图书馆下架及注销的书籍资料,"LCSD,HKPF",2022-01-26,2023-11,www.ombudsman.hk/wp-content/uploads/2023/11/HKOmbudsman_Code_OMB_2022_3895_LCSD_EN_Leisure_and_Cultural_Services_Department_refusing_to_provide_information_of_books_removed_from_public_library_shelves_or_withdrawn.pdf,www.ombudsman.hk/wp-content/uploads/2023/11/申訴專員公署_公開資料守則_OMB_2022_3895_LCSD_TC_康樂及文化事務署拒絕提供公共圖書館下架或註銷的書籍資料.pdf,www.ombudsman.hk/wp-content/uploads/2023/11/申诉专员公署_公开资料守则_OMB_2022_3895_LCSD_SC_拒绝提供公共图书馆下架及注销的书籍资料.pdf,Code,,https://drive.google.com/file/d/1UdxXKHvZhj1VdHZa1IbvyAzKPmytPzwB/view?usp=drivesdk,https://drive.google.com/file/d/13mBM094ShVcpF5yOxAwglMmU8eKlSnT1/view?usp=drivesdk,https://drive.google.com/file/d/15cXoIFUN8xdf-3zSzqkuBP7t1nNmAZT6/view?usp=drivesdk
2023/24,OMB 2023/0251,Implementation of HKeToll by Transport Department and loss of vehicle tags in post,運輸署推行「易通行」計劃及寄失「車輛貼」的事宜,运输署推行「易通行」计划及寄失「车辆贴」的事宜,"TD,1823,OGCIO,HAD,MTRC",2023-03-01,2023-10,www.ombudsman.hk/wp-content/uploads/2024/03/HKOmbudsman_Full Investigation_OMB_2023_0251_Full Report_TD_EN_Implementation_of_HKeToll_by_Transport_Department_and_loss_of_vehicle_tags_in_post.pdf,www.ombudsman.hk/wp-content/uploads/2024/03/申訴專員公署_就投訴作出的調查_OMB_2023_0251_全文_TD_TC_運輸署推行「易通行」計劃及寄失「車輛貼」的事宜.pdf,www.ombudsman.hk/wp-content/uploads/2024/03/申诉专员公署_就投诉作出的调查_OMB_2023_0251_全文_TD_SC_运输署推行「易通行」计划及寄失「车辆贴」的事宜.pdf,FI,,https://drive.google.com/file/d/1bhC8KdepiPWcGeMH45vCOWvu_FgmhqDM/view?usp=drivesdk,https://drive.google.com/file/d/1Ev7lSVcekDovHgf80_HvqswX-ur6c07d/view?usp=drivesdk,https://drive.google.com/file/d/1u506bgGJajGKLx9ZxEWwaSwCgI945ROv/view?usp=drivesdk
2023/24,OMB 2022/3659,"Reporting of unexpected serious adverse events following immunisation with COVID-19 vaccines by Health Bureau, Department of Health and Hospital Authority",接種新冠疫苗後嚴重異常事件的呈報機制,就接种新冠疫苗后出现未能预见的严重异常事件的呈报机制,"HB,DH,HA,1823",2022-10-28,2023-09-05,"www.ombudsman.hk/wp-content/uploads/2024/01/HKOmbudsman_Investigation Report_OMB_2022_3659_Full Report_HB_EN_Reporting_of_unexpected_serious_adverse_events_following_immunisation_with_COVID-19_vaccines_by_Health_Bureau,_Department_of_Health_and_Hospital_Authority.pdf",www.ombudsman.hk/wp-content/uploads/2024/01/申訴專員公署_就投訴作出的調查_OMB_2022_3659_全文_HB_TC_接種新冠疫苗後嚴重異常事件的呈報機制.pdf,www.ombudsman.hk/wp-content/uploads/2024/01/申诉专员公署_就投诉作出的调查_OMB_2022_3659_HB_SC_就接种新冠疫苗后出现未能预见的严重异常事件的呈报机制.pdf,Complaint,,https://drive.google.com/file/d/1WOmNJINKX9R3QqrgYoIbSTZiKLuu-iKA/view?usp=drivesdk,https://drive.google.com/file/d/1SiIwAcGuhUNrqu7MLLAxBuCgTHEroHtE/view?usp=drivesdk,https://drive.google.com/file/d/121mbd9sFuyi835P2m3Me8a3VaRaRUw1P/view?usp=drivesdk
2023/24,,,招聘行政主任（資訊科技）,,,,2023-09,,www.ombudsman.hk/wp-content/uploads/2023/09/申訴專員公署_TC_招聘行政主任（資訊科技）.pdf,,,,,https://drive.google.com/file/d/1HX9xnZUh8zTv_NDod1O3yxSfCKfycOOg/view?usp=drivesdk,
2023/24,,Measures taken by Food and Environmental Hygiene Department and Home Affairs Department in handling complaints about obstruction and noise caused by a wholesale market,食物環境衞生署及民政事務總署對某批發市場雜物阻街及噪音投訴的跟進,食物环境卫生署及民政事务总署跟进处理批发市场杂物阻街及噪音投诉,"FEHD,HAD,1823,HKPF,EPD,TD",2023-03,2023-09,www.ombudsman.hk/wp-content/uploads/2023/12/HKOmbudsman_Investigation Report_FEHD_EN_Measures_taken_by_Food_and_Environmental_Hygiene_Department_and_Home_Affairs_Department_in_handling_complaints_about_obstruction_and_noise_caused_by_a_wholesale_market.pdf,www.ombudsman.hk/wp-content/uploads/2023/12/申訴專員公署_就投訴作出的調查_全文_FEHD_TC_食物環境衞生署及民政事務總署對某批發市場雜物阻街及噪音投訴的跟進.pdf,www.ombudsman.hk/wp-content/uploads/2023/12/申诉专员公署_就投诉作出的调查_FEHD_SC_食物环境卫生署及民政事务总署跟进处理批发市场杂物阻街及噪音投诉.pdf,Complaint,,https://drive.google.com/file/d/1H_invYgRO_IsglupBGwV-S3cf_PKGPYM/view?usp=drivesdk,https://drive.google.com/file/d/1wMPThbnSWnnTmETbJTd4IPffGn_MWTaT/view?usp=drivesdk,https://drive.google.com/file/d/1oIpTquADY34tTRJoHum_kdhEq5IY4CqZ/view?usp=drivesdk
